customerID,gender,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,DeviceProtection,Contract,PaymentMethod, MonthlyCharges , TotalCharges ,Churn
 5575-GNVDE , Male ,34,1,0, DSL ,1,1, One year , Mailed check , $56.95 ," $1,889.50 ",0
 3668-QPYBK , Male ,2,1,0, DSL ,1,0, Month-to-month , Mailed check , $53.85 , $108.15 ,1
 9237-HQITU , Female ,2,1,0, Fiber optic ,0,0, Month-to-month , Electronic check , $70.70 , $151.65 ,1
 9305-CDSKC , Female ,8,1,1, Fiber optic ,0,1, Month-to-month , Electronic check , $99.65 , $820.50 ,1
 1452-KIOVK , Male ,22,1,1, Fiber optic ,0,0, Month-to-month , Credit card (automatic) , $89.10 ," $1,949.40 ",0
 7892-POOKP , Female ,28,1,1, Fiber optic ,0,1, Month-to-month , Electronic check , $104.80 ," $3,046.05 ",1
 6388-TABGU , Male ,62,1,0, DSL ,1,0, One year , Bank transfer (automatic) , $56.15 ," $3,487.95 ",0
 9763-GRSKD , Male ,13,1,0, DSL ,1,0, Month-to-month , Mailed check , $49.95 , $587.45 ,0
 8091-TTVAX , Male ,58,1,1, Fiber optic ,0,1, One year , Credit card (automatic) , $100.35 ," $5,681.10 ",0
 0280-XJGEX , Male ,49,1,1, Fiber optic ,0,1, Month-to-month , Bank transfer (automatic) , $103.70 ," $5,036.30 ",1
 5129-JLPIS , Male ,25,1,0, Fiber optic ,1,1, Month-to-month , Electronic check , $105.50 ," $2,686.05 ",0
 3655-SNQYZ , Female ,69,1,1, Fiber optic ,1,1, Two year , Credit card (automatic) , $113.25 ," $7,895.15 ",0
 9959-WOFKT , Male ,71,1,1, Fiber optic ,1,1, Two year , Bank transfer (automatic) , $106.70 ," $7,382.25 ",0
 4190-MFLUW , Female ,10,1,0, DSL ,0,1, Month-to-month , Credit card (automatic) , $55.20 , $528.35 ,1
 4183-MYFRB , Female ,21,1,0, Fiber optic ,0,1, Month-to-month , Electronic check , $90.05 ," $1,862.90 ",0
 3638-WEABW , Female ,58,1,1, DSL ,0,0, Two year , Credit card (automatic) , $59.90 ," $3,505.10 ",0
 6322-HRPFA , Male ,49,1,0, DSL ,1,0, Month-to-month , Credit card (automatic) , $59.60 ," $2,970.30 ",0
 6865-JZNKO , Female ,30,1,0, DSL ,1,0, Month-to-month , Bank transfer (automatic) , $55.30 ," $1,530.60 ",0
 6467-CHFZW , Male ,47,1,1, Fiber optic ,0,0, Month-to-month , Electronic check , $99.35 ," $4,749.15 ",1
 5248-YGIJN , Male ,72,1,1, DSL ,1,1, Two year , Credit card (automatic) , $90.25 ," $6,369.45 ",0
 8773-HHUOZ , Female ,17,1,0, DSL ,0,0, Month-to-month , Mailed check , $64.70 ," $1,093.10 ",1
 3841-NFECX , Female ,71,1,1, Fiber optic ,1,1, Two year , Credit card (automatic) , $96.35 ," $6,766.95 ",0
 4929-XIHVW , Male ,2,1,0, Fiber optic ,0,1, Month-to-month , Credit card (automatic) , $95.50 , $181.65 ,0
 6827-IEAUQ , Female ,27,1,0, DSL ,1,1, One year , Mailed check , $66.15 ," $1,874.45 ",0
 3413-BMNZE , Male ,1,1,0, DSL ,0,0, Month-to-month , Bank transfer (automatic) , $45.25 , $45.25 ,0
 6234-RAAPL , Female ,72,1,1, Fiber optic ,1,0, Two year , Bank transfer (automatic) , $99.90 ," $7,251.70 ",0
 6047-YHPVI , Male ,5,1,0, Fiber optic ,0,0, Month-to-month , Electronic check , $69.70 , $316.90 ,1
 6572-ADKRS , Female ,46,1,0, Fiber optic ,0,1, Month-to-month , Credit card (automatic) , $74.80 ," $3,548.30 ",0
 5380-WJKOV , Male ,34,1,1, Fiber optic ,0,1, Month-to-month , Electronic check , $106.35 ," $3,549.25 ",1
 8168-UQWWF , Female ,11,1,1, Fiber optic ,0,1, Month-to-month , Bank transfer (automatic) , $97.85 ," $1,105.40 ",1
 8865-TNMNX , Male ,10,1,0, DSL ,0,0, One year , Mailed check , $49.55 , $475.70 ,0
 9489-DEDVP , Female ,70,1,1, DSL ,1,0, Two year , Credit card (automatic) , $69.20 ," $4,872.35 ",0
 4671-VJLCL , Female ,63,1,1, DSL ,1,1, Two year , Credit card (automatic) , $79.85 ," $4,861.45 ",0
 4080-IIARD , Female ,13,1,1, DSL ,1,0, Month-to-month , Electronic check , $76.20 , $981.45 ,0
 3714-NTNFO , Female ,49,1,1, Fiber optic ,0,0, Month-to-month , Electronic check , $84.50 ," $3,906.70 ",0
 5948-UJZLF , Male ,2,1,0, DSL ,0,0, Month-to-month , Mailed check , $49.25 , $97.00 ,0
 7760-OYPDY , Female ,2,1,0, Fiber optic ,0,0, Month-to-month , Electronic check , $80.65 , $144.15 ,1
